name,age,position,height,value,national_matches,national_goals,matches20,goals20,assists20,yellow20,double_yellows20,red20,matches21,goals21,assists21,yellow21,double_yellows21,red21,matches22,goals22,assists22,yellow22,double_yellows22,red22,goal_percentage20,goal_percentage21,goal_percentage22,assists_percentage20,assists_percentage21,assists_percentage22,goalkeeper,deff,middle,attack
wesley-fofana,22,Centre-Back,1.86,65000.0,0,0,42,0,1,11,0,0,12,1,0,3,0,0,22,2,0,5,0,0,0.0,0.08333333333333333,0.09090909090909091,0.023809523809523808,0.0,0.0,0,1,0,0
bukayo-saka,21,Right Winger,1.78,110000.0,26,8,46,7,10,2,0,0,43,12,7,6,0,0,48,15,11,7,0,0,0.15217391304347827,0.27906976744186046,0.3125,0.21739130434782608,0.16279069767441862,0.22916666666666666,0,0,0,1
trent-alexander-arnold,24,Right-Back,1.8,65000.0,18,1,45,2,9,4,0,0,47,2,19,5,0,0,47,4,10,7,0,0,0.044444444444444446,0.0425531914893617,0.0851063829787234,0.2,0.40425531914893614,0.2127659574468085,0,1,0,0
mason-mount,24,Attacking Midfield,1.81,65000.0,36,5,54,9,9,6,0,0,53,13,16,4,0,0,35,3,6,7,0,0,0.16666666666666666,0.24528301886792453,0.08571428571428572,0.16666666666666666,0.3018867924528302,0.17142857142857143,0,0,1,0
mohamed-salah,30,Right Winger,1.75,70000.0,87,49,51,31,6,0,0,0,51,31,16,1,0,0,51,30,16,2,0,0,0.6078431372549019,0.6078431372549019,0.5882352941176471,0.11764705882352941,0.3137254901960784,0.3137254901960784,0,0,0,1
cody-gakpo,24,Left Winger,1.93,60000.0,15,6,29,11,3,2,0,0,47,21,15,2,0,0,50,20,20,1,0,0,0.3793103448275862,0.44680851063829785,0.4,0.10344827586206896,0.3191489361702128,0.4,0,0,0,1
martin-odegaard,24,Attacking Midfield,1.78,80000.0,49,2,29,2,2,0,0,0,40,7,5,4,0,0,45,15,8,5,0,0,0.06896551724137931,0.175,0.3333333333333333,0.06896551724137931,0.125,0.17777777777777778,0,0,1,0
bruno-guimaraes,25,Defensive Midfield,1.82,60000.0,10,1,37,3,2,6,0,0,42,5,7,6,0,0,40,5,5,7,0,1,0.08108108108108109,0.11904761904761904,0.125,0.05405405405405406,0.16666666666666666,0.125,0,0,1,0
kai-havertz,23,Attacking Midfield,1.93,60000.0,34,12,45,9,8,3,0,0,47,14,6,8,0,0,47,9,1,5,0,0,0.2,0.2978723404255319,0.19148936170212766,0.17777777777777778,0.1276595744680851,0.02127659574468085,0,0,1,0
mykhaylo-mudryk,22,Left Winger,1.75,60000.0,9,0,14,0,0,1,0,0,19,2,9,2,0,0,35,10,10,7,0,1,0.0,0.10526315789473684,0.2857142857142857,0.0,0.47368421052631576,0.2857142857142857,0,0,0,1
raheem-sterling,28,Left Winger,1.7,60000.0,82,20,49,14,12,6,0,0,47,17,9,2,0,0,38,9,4,5,0,0,0.2857142857142857,0.3617021276595745,0.23684210526315788,0.24489795918367346,0.19148936170212766,0.10526315789473684,0,0,0,1
heung-min-son,30,Left Winger,1.84,60000.0,108,35,51,22,17,0,0,0,45,24,10,3,0,0,47,14,6,3,0,0,0.43137254901960786,0.5333333333333333,0.2978723404255319,0.3333333333333333,0.2222222222222222,0.1276595744680851,0,0,0,1
cristian-romero,25,Centre-Back,1.85,60000.0,20,1,42,3,5,15,0,0,30,1,0,11,1,0,34,0,1,11,2,0,0.07142857142857142,0.03333333333333333,0.0,0.11904761904761904,0.0,0.029411764705882353,0,1,0,0
william-saliba,22,Centre-Back,1.92,55000.0,8,0,30,1,0,6,1,0,52,0,0,7,0,0,33,3,1,4,0,0,0.03333333333333333,0.0,0.09090909090909091,0.0,0.0,0.030303030303030304,0,1,0,0
diogo-jota,26,Left Winger,1.78,55000.0,30,10,30,13,1,2,0,0,55,21,8,6,0,0,28,7,8,2,0,0,0.43333333333333335,0.38181818181818183,0.25,0.03333333333333333,0.14545454545454545,0.2857142857142857,0,0,0,1
james-maddison,26,Attacking Midfield,1.75,55000.0,2,0,42,11,10,4,0,0,53,18,12,8,0,0,32,10,9,11,0,0,0.2619047619047619,0.33962264150943394,0.3125,0.23809523809523808,0.22641509433962265,0.28125,0,0,1,0
dejan-kulusevski,23,Right Winger,1.86,55000.0,29,2,47,7,7,8,0,0,47,7,11,5,0,0,37,2,8,3,0,0,0.14893617021276595,0.14893617021276595,0.05405405405405406,0.14893617021276595,0.23404255319148937,0.21621621621621623,0,0,0,1
richarlison,26,Centre-Forward,1.84,55000.0,42,20,40,13,3,5,0,1,33,11,5,8,0,0,35,3,4,3,0,0,0.325,0.3333333333333333,0.08571428571428572,0.075,0.15151515151515152,0.11428571428571428,0,0,0,1
jadon-sancho,23,Left Winger,1.8,55000.0,23,3,38,16,20,1,0,0,38,5,3,0,0,0,41,7,3,0,0,0,0.42105263157894735,0.13157894736842105,0.17073170731707318,0.5263157894736842,0.07894736842105263,0.07317073170731707,0,0,0,1
