,name,age,position,height,value,national_matches,national_goals,matches18,goals18,assists18,yellow18,double_yellows18,red18,matches19,goals19,assists19,yellow19,double_yellows19,red19,matches20,goals20,assists20,yellow20,double_yellows20,red20,matches21,goals21,assists21,yellow21,double_yellows21,red21,matches22,goals22,assists22,yellow22,double_yellows22,red22
erling-haaland,22,"<dd class=""detail-position__position"">Центральный нап.</dd>",1.95,170.0,23,21,41,41,12,4,0,0,30,29,8,3,0,0,48,52,8,5,0,0
phil-foden,22,"<dd class=""detail-position__position"">Левый Вингер</dd>",1.71,110.0,23,3,50,16,10,0,0,0,45,14,11,2,0,0,42,14,7,3,0,0
bukayo-saka,21,"<dd class=""detail-position__position"">Правый Вингер</dd>",1.78,110.0,26,8,46,7,10,2,0,0,43,12,7,6,0,0,46,14,11,7,0,0
harry-kane,29,"<dd class=""detail-position__position"">Центральный нап.</dd>",1.88,90.0,82,55,49,33,17,2,0,0,50,27,10,5,0,0,47,29,5,7,0,0
